student_id,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
1,4,4,4,1,4,3,4,1,3,1,2,2,2,4,4,1,4,3,2,4,3,4,2,2,3,4,5,4,3,5,1,1,4,3,1,2,4,5,4,5,4,3,5,3,2,5,4,3,3,4,1,1,1,5,3,4,5,4,3,4,1,5,3,5,5,4,4,5,5,2,3,4,4,3,2,5,4,5,4,1,4,1,3,5,3,3,3,3,2,1,2,5,5,4,3,4,2,5,1,1,3,2,2,5,1,1,3,1,5,4,1,3,4,3,3,5,5,5,1,4,4,3,4,2,2,2,2,3,5,4,2,1,2,4,4,3,3,3,5,4,1,3,4,2,3
2,1,4,3,1,4,3,2,3,4,2,2,2,1,4,1,1,2,3,4,1,4,4,2,1,3,4,5,4,5,5,1,1,4,3,1,2,4,5,4,5,4,3,5,3,2,5,4,3,3,4,1,1,1,5,5,4,5,4,3,4,4,4,3,5,5,4,5,1,5,1,3,1,4,3,4,5,4,3,4,1,4,1,3,3,3,3,3,1,2,1,2,5,5,4,3,4,2,4,1,4,1,1,2,1,1,1,3,1,5,4,5,3,4,2,3,5,5,5,1,4,4,1,2,2,2,2,2,3,5,4,2,1,4,4,4,3,3,1,5,4,1,3,4,2,3
3,4,4,4,1,4,3,4,1,3,1,3,3,2,3,1,1,4,1,2,1,3,1,2,1,3,4,5,1,3,5,1,1,4,2,1,2,1,2,2,5,4,3,5,2,2,5,4,3,3,4,1,1,2,5,3,4,5,4,3,4,1,1,3,5,5,4,4,1,5,2,3,2,4,3,1,5,4,5,4,1,5,5,3,3,3,3,3,3,2,1,2,5,5,4,3,4,2,5,4,1,1,1,2,3,2,1,3,1,1,4,5,3,4,2,3,5,5,5,1,4,4,5,1,2,2,2,2,3,5,4,2,1,2,4,2,3,3,3,5,4,1,3,4,2,3
4,4,4,4,1,4,3,4,1,3,1,3,3,2,3,1,1,4,1,2,1,3,1,2,1,3,4,5,1,3,5,1,1,4,2,1,2,1,2,2,5,4,3,5,2,2,5,4,3,3,4,1,1,2,5,3,4,5,4,3,4,1,1,3,5,5,4,4,1,5,2,3,2,4,3,1,5,4,5,4,1,5,5,3,3,3,3,3,3,2,1,2,5,5,4,3,4,2,5,4,1,1,1,2,3,2,1,3,1,1,4,5,3,4,2,3,5,5,5,1,4,4,5,1,2,2,2,2,3,5,4,2,1,2,4,2,3,3,3,5,4,1,3,4,2,3
5,3,1,2,1,4,3,4,1,4,1,1,2,2,3,1,1,4,1,4,4,1,3,2,3,3,1,5,4,3,5,1,1,4,2,1,2,4,5,4,5,4,3,5,2,2,5,4,3,3,4,1,2,1,5,3,5,5,4,3,4,1,4,3,5,5,4,4,1,5,2,3,3,4,3,4,5,4,5,4,1,4,5,3,5,3,3,3,3,2,2,5,5,5,4,3,4,2,4,1,1,1,2,2,3,1,4,3,1,2,4,5,3,4,2,3,5,5,5,4,4,4,1,2,2,2,2,2,3,5,4,2,1,2,4,4,3,3,1,5,4,1,3,4,2,3
6,4,3,1,1,4,3,4,1,4,1,3,2,3,3,1,4,1,3,2,1,3,4,2,3,3,4,5,4,3,5,1,1,4,3,1,3,4,5,4,5,4,3,5,2,2,5,4,1,3,4,1,1,1,5,3,5,5,4,3,2,4,4,3,5,5,4,4,1,5,2,3,2,4,1,4,5,4,3,4,1,4,2,3,5,3,3,3,3,2,2,2,5,5,4,3,4,1,5,1,1,1,4,2,3,1,1,3,5,5,4,5,3,4,2,3,5,5,5,1,4,4,4,1,2,2,2,2,3,5,4,2,1,5,4,4,4,3,3,5,4,1,3,4,2,3
7,2,2,2,1,4,3,4,1,4,1,1,4,2,3,1,1,4,3,2,1,3,4,24,3,0,4,5,1,3,5,1,1,4,3,1,3,4,5,4,5,4,3,5,3,2,5,4,3,3,5,1,1,1,5,3,5,5,4,3,4,1,4,3,5,5,4,4,1,3,2,3,2,4,3,4,5,4,5,4,1,5,3,3,5,3,3,3,4,2,1,5,4,5,4,3,4,2,4,1,5,1,4,2,5,1,1,3,1,2,4,5,3,4,2,3,3,5,5,1,2,4,2,4,2,2,2,2,3,5,4,2,1,2,4,4,3,3,5,5,4,1,2,4,2,3
8,4,4,2,1,4,4,4,1,4,1,2,2,3,2,1,3,1,3,2,1,3,4,2,2,3,4,5,4,3,5,1,1,4,3,1,3,4,2,4,5,4,3,5,3,2,5,4,3,3,4,1,1,1,5,3,4,5,4,3,4,5,5,3,5,5,4,4,1,5,2,3,1,4,5,4,5,4,5,4,1,4,5,3,5,3,3,3,4,2,1,1,5,5,4,3,4,2,4,1,2,1,4,2,3,4,1,3,5,5,4,5,3,4,2,3,5,4,5,1,4,4,2,1,2,2,2,2,3,5,4,2,1,2,4,4,3,4,1,5,4,4,3,4,2,3
9,4,4,1,1,4,2,2,1,2,4,1,2,2,3,1,1,4,3,2,4,4,4,2,4,3,4,5,4,3,5,1,1,4,3,1,3,4,5,4,5,4,3,5,2,2,5,4,3,3,4,1,2,1,5,5,4,5,4,3,4,1,4,3,5,5,4,4,1,5,2,3,3,4,3,4,5,4,2,4,1,5,1,3,5,3,3,2,5,2,1,5,5,5,4,3,4,2,5,3,1,1,1,2,3,1,1,3,4,5,4,5,3,4,2,3,5,5,5,1,4,4,3,2,2,2,2,2,3,5,4,2,1,4,4,4,3,1,1,1,4,2,3,4,2,3
